rok;inflacja
2000;10
2001;6
2002;2
2003;1
2004;4
2005;2
2006;1
2007;3
2008;4
2009;4
2010;3
2011;4
2012;4
2013;1
2014;0
2015;-1
2016;-1
2017;2
2018;2
2019;2
2020;3
2021;5
